ClusterID,Treatment,n_participants,YP_stunting_24m,YP_cog_composite_24m,YP_lang_composite_24m,YP_motor_composite_24m,YP_se_composite_24m,YP_ab_composite_24m,YS_haz06_24m,YS_diet_diversity_24m,YS_caregiver_child_interaction_24m,X_age_0m,X_hh_members_cat_0m,X_wealth_quintile_0m,X_distance_0m,X_cluster_population_0m,X_haz_0m,X_waz_0m,X_whz_0m,X_SRQ_0m,X_sex_0m,X_bornearly_0m,X_mother_age_cat_0m,X_father_primary_0m,X_mother_primary_0m
1,0,6,0.16666666666666666,85.83333333333333,98.83333333333333,88.5,70.83333333333333,68.16666666666667,-1.1516666666666666,2,0.1388888888888889,35.666666666666664,1.5,3.3333333333333335,0,967,-0.7483333333333333,-0.44666666666666666,-0.010000000000000009,6.5,0.6666666666666666,0,1,1,0.8333333333333334
2,1,12,0.3333333333333333,82.08333333333333,98,92.08333333333333,70,79,-1.3816666666666666,2,0.5138888888888888,37.166666666666664,1.3333333333333333,2.75,12,916,-1.5125000000000002,-0.9254545454545454,0.64,4.090909090909091,0.4166666666666667,0.1,1,1,0.8333333333333334
3,0,26,0.15384615384615385,85.1923076923077,93.96153846153847,96.11538461538461,70.38461538461539,76.76923076923077,-1.3103846153846155,2.076923076923077,0.3974358974358974,35.69230769230769,1.56,2.0384615384615383,12,1272,-1.0208,0.22384615384615383,1.064,5,0.4230769230769231,0,1,1,0.7307692307692307
4,1,5,0.6,84,89.8,85.6,72,75.4,-2.476,3,0.4,35.2,1.6,2.6,10,1061,-2.092,-1.094,0.252,3,0.4,0.2,1,0.6,0.6
4,1,5,0.6,84,89.8,85.6,72,75.4,-2.476,3,0.4,35.2,1.6,2.6,10,1061,-2.092,-1.094,0.252,3,0.4,0.2,2,0.6,0.6
5,0,17,0.7058823529411765,79.70588235294117,86.3529411764706,91.41176470588235,70,74.17647058823529,-2.3588235294117648,2.235294117647059,0.5196078431372548,35.76470588235294,1.4705882352941178,2.176470588235294,27,1024,-0.17764705882352944,-0.5941176470588235,-0.4794117647058823,2.588235294117647,0.5882352941176471,0.17647058823529413,1,0.6470588235294118,0.6470588235294118
6,1,15,0.5,81.42857142857143,90.5,91.71428571428571,72.5,84.28571428571429,-1.7621428571428572,3.066666666666667,0.5555555555555556,35.92857142857143,1.6,2.8666666666666667,15,910,0.14357142857142857,-0.7107142857142857,-1.0214285714285714,2.8,0.4,0.2,1,0.6666666666666666,0.6
7,0,2,0.5,97.5,90,76,67.5,67,-1.995,3.5,0.8333333333333334,34,2,3.5,5,1590,-3.04,-0.135,2.58,0,0.5,0,NA,1,1
8,1,9,0.2222222222222222,77.22222222222223,84.77777777777777,79.33333333333333,75,87.33333333333333,-1.2655555555555555,2.2222222222222223,0.6296296296296297,36.44444444444444,1.4444444444444444,2.888888888888889,10,660,-3.281111111111111,-0.3411111111111112,1.7875,2.125,0.6666666666666666,0.1111111111111111,1,0.5555555555555556,0.4444444444444444
8,1,9,0.2222222222222222,77.22222222222223,84.77777777777777,79.33333333333333,75,87.33333333333333,-1.2655555555555555,2.2222222222222223,0.6296296296296297,36.44444444444444,1.4444444444444444,2.888888888888889,10,660,-3.281111111111111,-0.3411111111111112,1.7875,2.125,0.6666666666666666,0.1111111111111111,2,0.5555555555555556,0.4444444444444444
