ClusterID,Treatment,n_participants,YP_stunting_24m,YP_cog_composite_24m,YP_lang_composite_24m,YP_motor_composite_24m,YP_se_composite_24m,YP_ab_composite_24m,YS_haz06_24m,YS_diet_diversity_24m,YS_caregiver_child_interaction_24m,X_age_0m,X_hh_members_cat_0m,X_wealth_quintile_0m,X_distance_0m,X_cluster_population_0m,X_haz_0m,X_waz_0m,X_whz_0m,X_SRQ_0m,X_sex_0m,X_bornearly_0m,X_mother_age_cat_0m,X_father_primary_0m,X_mother_primary_0m
18,0,14,0.21428571428571427,83.21428571428571,93.92857142857143,95.5,71.07142857142857,73.57142857142857,-1.3728571428571428,1.5714285714285714,0.42857142857142855,36.714285714285715,1.9285714285714286,3.5714285714285716,10,1239,-0.7561538461538462,-0.6478571428571428,-0.46692307692307694,7.285714285714286,0.5,0,2,1,0.6428571428571429
19,0,14,0.42857142857142855,87.14285714285714,98.14285714285714,98.57142857142857,71.42857142857143,78.5,-1.55,3.5,0.5119047619047619,37.857142857142854,1.5,3.5714285714285716,0,1284,-2.617857142857143,0.3842857142857143,1.875,6.538461538461538,0.5714285714285714,0.3076923076923077,2,0.9285714285714286,0.8571428571428571
20,1,20,0.35,81.75,89.8,88.65,72.75,78.85,-1.871,2.4,0.575,37.1,1.75,3.8,7,1001,-0.37684210526315787,-0.7075,-0.51,4.7368421052631575,0.55,0.15,3,0.95,0.75
21,0,17,0.23529411764705882,84.70588235294117,95.11764705882354,97.76470588235294,69.41176470588235,77.58823529411765,-1.3,2.5294117647058822,0.4803921568627451,37.470588235294116,1.588235294117647,3.7058823529411766,7,987,-1.0023529411764707,0.07294117647058823,0.85,4.823529411764706,0.6470588235294118,0.5714285714285714,1,0.8235294117647058,0.5882352941176471
22,1,10,0.2,87.5,98.5,92.7,70.5,79.7,-1.534,3.3,0.6333333333333333,37.2,1.6,2.9,5,882,-0.89,-0.255,0.429,5.3,0.5,0.1,1,0.9,1
23,1,12,0.16666666666666666,89.58333333333333,93.41666666666667,95.5,75,81.58333333333333,-1.2841666666666667,3,0.6666666666666666,35.666666666666664,1.75,3.6666666666666665,6,1086,-0.49083333333333334,0.03833333333333333,0.4275,4,0.5,0.4166666666666667,1,0.9166666666666666,0.6666666666666666
24,0,8,0.375,81.25,93.25,97.375,70.625,74.75,-1.07375,2,0.3958333333333333,37.125,2.375,3,12,560,0.02874999999999998,0.81375,1.13375,4.125,0.375,0.75,1,1,0.375
25,1,14,0.5714285714285714,87.14285714285714,95.64285714285714,102.57142857142857,78.57142857142857,90,-2.0100000000000002,3,0.6666666666666666,36.642857142857146,2.2142857142857144,3.5714285714285716,7,1051,-2.482857142857143,-0.14142857142857143,1.8235714285714286,4.846153846153846,0.6428571428571429,0.23076923076923078,1,0.9285714285714286,0.5714285714285714
25,1,14,0.5714285714285714,87.14285714285714,95.64285714285714,102.57142857142857,78.57142857142857,90,-2.0100000000000002,3,0.6666666666666666,36.642857142857146,2.2142857142857144,3.5714285714285716,7,1051,-2.482857142857143,-0.14142857142857143,1.8235714285714286,4.846153846153846,0.6428571428571429,0.23076923076923078,2,0.9285714285714286,0.5714285714285714
26,0,15,0.5333333333333333,83,87.86666666666666,92.4,71.33333333333333,76.66666666666667,-1.9253333333333333,3.466666666666667,0.5666666666666667,37.666666666666664,1.8,2.933333333333333,9,1063,-2.116,0.25000000000000006,1.88,3.8,0.5333333333333333,0.21428571428571427,1,0.8,0.8666666666666667
27,0,11,0.5454545454545454,93.18181818181819,95.45454545454545,102.81818181818181,79.0909090909091,84,-2.2381818181818183,3.1818181818181817,0.6515151515151515,37,1.7272727272727273,2.3636363636363638,9,1591,-2.12,-0.2736363636363636,1.3118181818181818,1.7272727272727273,0.5454545454545454,0.36363636363636365,1,0.9090909090909091,0.7272727272727273
28,1,18,0.3888888888888889,83.33333333333333,87.27777777777777,92.5,73.61111111111111,81.22222222222223,-1.9005555555555556,2.9444444444444446,0.5740740740740741,37.22222222222222,2.1176470588235294,3.388888888888889,10,931,-2.342222222222222,-0.20555555555555555,1.6027777777777776,4.277777777777778,0.5555555555555556,0.35294117647058826,2,0.9444444444444444,0.7222222222222222
29,1,11,0.2,75.9090909090909,85.81818181818181,80.9090909090909,73.18181818181819,78.45454545454545,-1.649,3.272727272727273,0.6060606060606061,37.54545454545455,1.5454545454545454,2.3636363636363638,33,929,-2.381818181818182,0.06090909090909089,1.85,0.5454545454545454,0.2727272727272727,0,2,0.8181818181818182,0.8181818181818182
30,0,18,0.4444444444444444,79.16666666666667,86.55555555555556,85.33333333333333,73.33333333333333,82.16666666666667,-1.9444444444444444,2.7222222222222223,0.5648148148148148,36.72222222222222,1.6666666666666667,1.8333333333333333,5,774,-2.408333333333333,-0.07277777777777776,1.7938888888888889,0.9444444444444444,0.5,0,1,0.7777777777777778,0.6666666666666666
